x_value,a,b,c,d
1,328,228,301,303
2,100,318,230,193
3,278,345,96,168
4,388,346,125,337
5,321,179,55,154
6,183,276,112,198
7,227,147,181,276
8,15,135,365,360
9,181,363,51,276
10,178,185,15,201
11,375,71,237,228
12,257,230,250,61
13,47,314,52,246
14,294,68,332,139
15,37,18,222,75
16,323,51,321,91
17,157,77,206,57
18,373,208,94,207
19,286,103,64,31
20,389,375,163,11
21,33,22,3,246
22,153,284,302,244
23,60,298,40,65
24,16,159,40,353
25,202,193,255,135
26,364,189,321,374
27,396,177,165,296
28,223,81,236,146
29,127,46,206,124
30,375,176,322,324
31,181,80,57,197
32,101,223,374,82
33,341,13,98,67
34,199,368,93,345
35,46,156,171,24
36,84,349,289,394
37,315,35,118,256
38,376,357,135,317
39,296,329,185,340
40,171,283,92,192
41,156,120,205,231
42,91,383,81,358
43,353,306,123,298
44,4,311,217,220
45,195,204,51,256
46,162,270,385,112
47,255,386,203,270
48,251,96,37,219
49,369,23,121,322
50,252,99,225,51
51,15,334,66,395
52,374,371,80,85
53,341,379,157,236
54,8,211,400,203
55,185,290,250,215
56,231,117,1,241
57,250,74,265,358
58,194,385,283,83
59,176,142,231,163
60,271,398,271,278
61,12,262,128,15
62,206,324,70,35
63,384,324,318,319
64,127,20,228,35
65,89,131,321,206
66,222,68,272,379
67,95,302,150,327
68,184,108,337,87
69,396,287,28,16
70,198,285,122,270
71,238,27,332,277
72,342,311,116,117
73,181,32,296,180
74,366,391,26,374
75,335,79,61,158
76,341,337,14,315
77,308,372,263,325
78,85,138,143,138
79,389,260,240,106
80,397,206,363,208
81,198,318,264,351
82,290,394,242,255
83,45,72,175,26
84,239,289,243,289
85,201,90,26,243
86,344,86,293,140
87,151,20,137,91
88,141,258,239,276
89,9,12,399,232
90,11,302,267,294
91,376,261,288,77
92,303,314,140,25
93,41,363,309,378
94,181,266,337,88
95,331,135,342,242
96,138,368,400,368
97,13,389,180,157
98,164,87,0,272
99,212,199,108,83
100,68,200,46,362
101,117,40,317,90
102,131,385,317,256
103,49,263,74,288
104,377,239,140,336
105,24,248,88,178
106,333,311,42,121
107,86,347,79,57
108,241,241,177,126
109,24,238,397,374
110,350,394,130,86
111,376,347,331,76
112,291,125,223,58
113,186,240,51,171
114,349,185,153,251
115,197,82,164,346
116,131,26,194,25
117,175,179,338,305
118,131,129,229,309
119,32,368,172,153
120,254,9,95,152
121,235,400,381,311
122,158,198,2,177
123,12,95,199,280
124,389,130,59,233
125,15,121,117,220
126,241,107,220,119
127,347,111,59,119
128,108,6,308,53
129,33,124,261,322
130,84,168,387,10
131,211,252,281,38
132,264,169,247,60
133,161,301,394,108
134,75,24,346,229
135,142,319,83,205
136,67,150,149,110
137,72,310,344,173
138,24,77,105,156
139,141,95,302,149
140,246,338,293,213
141,285,182,63,165
142,373,383,324,282
143,54,201,353,371
144,44,80,59,209
145,129,132,384,161
146,371,215,51,79
147,235,254,293,352
148,215,255,208,95
149,96,213,387,146
150,118,132,197,323
151,120,327,147,89
152,108,249,179,213
153,162,221,52,8
154,344,134,226,176
155,311,243,44,274
156,74,325,283,86
157,23,353,234,229
158,318,43,75,234
159,208,390,167,382
160,63,81,53,228
161,89,373,387,178
162,378,241,249,356
163,289,131,96,243
164,238,205,118,122
165,144,284,258,126
166,209,10,133,45
167,167,302,283,123
168,63,33,172,36
169,188,21,394,73
170,179,252,367,340
171,231,367,355,109
172,351,105,161,365
173,309,239,28,355
174,108,214,296,155
175,214,200,158,242
176,29,108,323,347
177,291,250,266,197
178,266,399,187,204
179,320,355,373,146
180,14,220,188,392
181,350,340,182,273
182,230,213,340,322
183,80,179,273,16
184,5,192,141,309
185,146,299,160,363
186,377,209,301,308
187,184,380,322,300
188,194,120,112,146
189,130,16,149,160
190,264,239,179,186
191,109,186,350,255
192,9,31,74,391
193,72,73,297,398
194,236,6,281,310
195,261,295,242,319
196,286,140,164,18
197,350,289,151,389
198,82,253,322,15
199,265,77,361,354
200,19,85,337,383
201,65,52,233,329
202,64,390,207,80
203,297,27,273,117
204,159,342,273,110
205,100,293,23,318
206,198,207,290,203
207,391,352,96,8
208,236,393,121,7
209,92,205,85,351
210,398,246,309,128
211,331,59,31,265
212,53,52,296,383
213,31,244,74,198
214,156,1,350,268
215,14,111,277,384
216,58,284,83,399
217,33,20,204,397
218,61,279,53,1
219,370,253,26,274
220,321,326,341,61
221,90,44,188,285
222,305,117,81,77
223,127,219,74,108
224,350,349,294,17
225,99,85,101,143
226,314,37,356,150
227,298,374,184,252
228,214,306,305,381
229,241,228,235,18
230,251,372,279,154
231,374,245,332,243
232,29,224,33,5
233,325,41,375,8
234,268,146,291,231
235,72,151,1,242
236,300,75,34,257
237,287,300,231,263
238,342,268,125,312
239,1,171,15,266
240,176,383,248,398
241,253,40,260,363
242,372,5,287,398
243,252,364,183,246
244,320,215,119,289
245,105,323,181,156
246,261,58,82,181
247,375,274,60,225
248,185,14,27,174
249,237,109,231,146
250,264,134,223,310
251,147,179,239,178
252,70,78,150,133
253,22,56,194,348
254,116,58,337,160
255,241,68,96,147
256,225,139,15,273
257,65,162,344,330
258,120,310,301,253
259,116,210,168,167
260,190,399,98,0
261,8,366,393,212
262,197,344,308,157
263,176,340,309,236
264,162,90,348,206
265,353,343,98,227
266,5,62,317,240
267,226,257,251,366
268,8,187,201,98
269,384,179,123,357
270,10,182,94,173
271,90,299,19,312
272,246,135,245,52
273,104,42,168,271
274,79,151,28,29
275,289,57,242,23
276,164,229,138,310
277,143,264,189,89
278,9,372,397,378
279,259,232,266,90
280,253,278,99,242
281,137,159,147,369
282,27,121,257,173
283,303,31,24,312
284,152,287,97,292
285,301,264,215,142
286,381,151,332,306
287,267,355,305,76
288,30,180,285,112
289,112,163,274,334
290,203,169,303,396
291,205,279,80,93
292,9,317,146,95
293,56,136,382,232
294,72,322,253,127
295,69,342,61,71
296,234,360,276,85
297,243,59,92,342
298,253,252,15,227
299,269,208,303,308
300,344,26,90,233
301,337,268,97,323
302,342,31,250,365
303,346,168,33,292
304,44,144,297,141
305,115,7,200,102
306,16,53,281,177
307,146,282,311,392
308,194,67,171,308
309,299,133,394,238
310,230,30,311,115
311,80,94,168,35
312,260,101,136,66
313,255,212,35,356
314,271,128,349,67
315,367,201,6,65
316,11,171,321,57
317,106,95,238,87
318,30,48,150,13
319,36,233,317,299
320,1,360,342,129
321,298,357,336,287
322,153,207,73,332
323,330,243,376,204
324,101,362,257,350
325,168,348,88,349
326,123,13,359,325
327,232,166,273,299
328,269,364,161,356
329,374,150,217,272
330,88,65,159,260
331,370,205,265,295
332,57,11,221,331
333,347,357,321,193
334,13,13,98,129
335,81,369,263,56
